,date,open,high,close,low,volume,turnover,alt,itl
94,2017/6/6,5.1,5.18,5.14,5.09,28986.71,0.3,0.0122699386503,1
95,2017/6/5,5.12,5.15,5.11,5.09,31457.0,0.33,0.0106544901065,1
96,2017/6/2,5.09,5.13,5.11,5.03,31511.0,0.33,0.00605143721634,-1
97,2017/6/1,5.22,5.22,5.08,5.08,38562.97,0.41,0.0246533127889,-1
98,2017/5/31,5.22,5.29,5.2,5.2,38004.0,0.4,0.00763358778626,-1
99,2017/5/26,5.24,5.28,5.18,5.17,47041.0,0.49,0.0137614678899,-1
100,2017/5/25,5.06,5.3,5.28,5.03,93725.18,0.99,0.010736196319,-1
101,2017/5/24,5.15,5.15,5.09,4.82,86042.32,0.9,0.0214067278287,1
102,2017/5/23,5.07,5.54,5.2,5.05,162978.31,1.71,0.012213740458,1
103,2017/5/22,5.25,5.25,5.08,5.06,47401.0,0.5,0.0121580547112,1
104,2017/5/19,5.23,5.28,5.25,5.22,35019.45,0.37,0.013698630137,-1
105,2017/5/18,5.26,5.3,5.23,5.22,39765.44,0.42,0.0106870229008,-1
106,2017/5/17,5.26,5.34,5.32,5.23,58040.01,0.61,0.0137404580153,1
107,2017/5/16,5.16,5.31,5.29,5.06,83298.33,0.88,0.012213740458,-1
108,2017/5/15,5.2,5.23,5.15,5.14,37869.06,0.4,0.00918836140888,-1
109,2017/5/12,5.16,5.26,5.22,5.03,82791.46,0.87,0.00766871165644,1
110,2017/5/11,5.26,5.26,5.15,5.0,97612.0,1.03,0.0154320987654,-1
111,2017/5/10,5.47,5.51,5.27,5.27,54374.44,0.57,0.0372670807453,1
112,2017/5/9,5.43,5.52,5.48,5.36,47964.45,0.5,0.0457317073171,1
113,2017/5/8,5.65,5.67,5.47,5.45,57271.77,0.6,0.0135746606335,-1
114,2017/5/5,5.77,5.77,5.63,5.61,56094.1,0.59,0.02416918429,1
115,2017/5/4,5.8,5.83,5.78,5.74,52930.01,0.56,0.0166163141994,-1
116,2017/5/3,5.74,5.85,5.78,5.69,65209.75,0.69,0.0120481927711,-1
117,2017/5/2,5.83,5.83,5.72,5.7,49269.1,0.52,0.0276497695853,1
118,2017/4/28,5.8,5.84,5.82,5.71,49846.99,0.52,0.0182926829268,-1
119,2017/4/27,5.94,5.95,5.8,5.52,124064.87,1.3,0.00766871165644,-1
120,2017/4/26,5.97,6.01,5.95,5.93,43185.61,0.45,0.00763358778626,1
121,2017/4/25,6.01,6.07,5.95,5.93,46690.17,0.49,0.0137825421133,-1
122,2017/4/24,6.19,6.19,6.01,5.92,81684.16,0.86,0.015503875969,-1
123,2017/4/21,6.16,6.2,6.19,6.13,40961.27,0.43,0.0321592649311,1
124,2017/4/20,6.19,6.23,6.16,6.1,65843.95,0.69,0.010719754977,-1
125,2017/4/19,6.29,6.29,6.19,6.1,102802.58,1.08,0.0170015455951,-1
126,2017/4/18,6.37,6.38,6.31,6.3,63609.52,0.67,0.00927357032458,1
127,2017/4/17,6.41,6.43,6.36,6.3,108834.23,1.14,0.00927357032458,-1
128,2017/4/14,6.58,6.63,6.45,6.45,157298.66,1.65,0.01248049922,-1
129,2017/4/13,6.68,6.77,6.64,6.5,250804.52,2.64,0.0141955835962,-1
130,2017/4/12,6.84,7.05,6.72,6.7,547546.06,5.76,0.0323624595469,-1
131,2017/4/11,6.31,6.65,6.58,6.26,243695.09,2.56,0.008038585209,1
132,2017/4/10,6.34,6.38,6.3,6.28,78172.6,0.82,0.0208,1
133,2017/4/7,6.35,6.49,6.4,6.32,99140.99,1.04,0.0110759493671,1
134,2017/4/6,6.34,6.39,6.37,6.32,80408.59,0.85,0.0268987341772,1
135,2017/4/5,6.26,6.38,6.36,6.25,82154.17,0.86,0.015923566879,-1
136,2017/3/31,6.23,6.27,6.26,6.22,60566.41,0.64,0.0623003194888,1
137,2017/3/30,6.36,6.38,6.23,6.18,133115.73,1.4,0.0522388059701,-1
138,2017/3/29,6.42,6.43,6.39,6.34,92398.03,0.97,0.0415384615385,-1
139,2017/3/28,6.48,6.49,6.42,6.41,67821.61,0.71,0.0279069767442,-1
140,2017/3/27,6.53,6.53,6.48,6.47,62514.65,0.66,0.0206349206349,-1
141,2017/3/24,6.52,6.53,6.53,6.47,52195.62,0.55,0.0126984126984,-1
142,2017/3/23,6.55,6.58,6.51,6.47,74738.87,0.79,0.0311475409836,-1
143,2017/3/22,6.6,6.6,6.55,6.53,88452.37,0.93,0.0213114754098,-1
144,2017/3/21,6.53,6.74,6.64,6.53,200539.23,2.11,0.0114192495922,1
145,2017/3/20,6.55,6.55,6.51,6.45,102493.4,1.08,0.0456081081081,-1
146,2017/3/17,6.59,6.62,6.55,6.53,90575.55,0.95,0.0236087689713,-1
147,2017/3/16,6.56,6.6,6.59,6.55,79423.16,0.83,0.0134907251265,-1
148,2017/3/15,6.57,6.57,6.54,6.52,72372.68,0.76,0.0778985507246,-1
149,2017/3/14,6.64,6.68,6.58,6.56,113972.11,1.2,0.0227670753065,1
150,2017/3/13,6.62,6.69,6.63,6.51,151309.53,1.59,0.0228070175439,-1
151,2017/3/10,6.64,6.72,6.64,6.64,124747.1,1.31,0.0281195079086,1
152,2017/3/9,6.72,6.73,6.68,6.62,120680.32,1.27,0.0156794425087,-1
153,2017/3/8,6.66,6.78,6.72,6.62,188403.05,1.98,0.0285204991087,-1
154,2017/3/7,6.7,6.72,6.67,6.63,155670.52,1.64,0.0403669724771,-1
155,2017/3/6,6.6,6.86,6.74,6.56,253324.36,2.66,0.0298507462687,1
156,2017/3/3,6.48,6.68,6.61,6.44,239218.73,2.51,0.0455407969639,-1
157,2017/3/2,6.57,6.58,6.49,6.48,100462.57,1.06,0.052,-1
158,2017/3/1,6.56,6.57,6.57,6.52,71091.52,0.75,0.0457256461233,1
159,2017/2/28,6.57,6.59,6.56,6.53,66156.22,0.7,0.0175097276265,-1
160,2017/2/27,6.62,6.63,6.58,6.55,65459.29,0.69,0.0494071146245,1
161,2017/2/24,6.56,6.64,6.63,6.55,93040.49,0.98,0.0210325047801,1
162,2017/2/23,6.61,6.62,6.59,6.55,100468.55,1.06,0.0153256704981,-1
163,2017/2/22,6.66,6.66,6.62,6.57,109890.31,1.16,0.0114942528736,1
164,2017/2/21,6.62,6.66,6.66,6.58,106722.46,1.12,0.0375494071146,-1
165,2017/2/20,6.59,6.63,6.61,6.55,79870.02,0.84,0.0970297029703,1
166,2017/2/17,6.57,6.68,6.59,6.54,101635.69,1.07,0.0684647302905,-1
167,2017/2/16,6.57,6.59,6.57,6.52,82147.67,0.86,0.0536779324056,1
168,2017/2/15,6.58,6.63,6.58,6.54,92109.22,0.97,0.0212765957447,-1
169,2017/2/14,6.58,6.6,6.58,6.55,62242.0,0.65,0.0173076923077,-1
170,2017/2/13,6.64,6.65,6.63,6.49,131890.09,1.39,0.0275590551181,-1
171,2017/2/10,6.65,6.65,6.64,6.61,67731.42,0.71,0.0198807157058,1
172,2017/2/9,6.59,6.64,6.63,6.57,74483.62,0.78,0.0117878192534,-1
173,2017/2/8,6.58,6.6,6.59,6.52,55419.68,0.58,0.0176817288802,1
174,2017/2/7,6.56,6.65,6.6,6.52,67686.26,0.71,0.0526315789474,1
175,2017/2/6,6.53,6.56,6.56,6.49,52572.52,0.55,0.0209923664122,-1
176,2017/2/3,6.57,6.57,6.53,6.5,35172.53,0.37,0.0210325047801,-1
177,2017/2/2,6.85,7.22,7.22,6.85,16.0,0.0,0.0292397660819,-1
178,2017/1/26,6.53,6.56,6.56,6.52,57887.34,0.61,0.0313111545988,1
179,2017/1/25,6.52,6.53,6.52,6.47,55484.18,0.58,0.0173076923077,-1
180,2017/1/24,6.54,6.54,6.51,6.5,43626.69,0.46,0.0288461538462,1
181,2017/1/23,6.51,6.57,6.53,6.49,63451.9,0.67,0.0113636363636,1
182,2017/1/20,6.5,6.54,6.5,6.45,82496.06,0.87,0.031954887218,1
183,2017/1/19,6.45,6.58,6.44,6.42,70726.86,0.74,0.0355140186916,1
184,2017/1/18,6.57,6.98,6.55,6.53,141735.88,1.49,0.0224719101124,-1
185,2017/1/17,6.42,6.52,6.48,6.3,53327.74,0.56,0.0337711069418,-1
186,2017/1/16,6.71,6.72,6.44,6.13,73396.89,0.77,0.0269749518304,-1
187,2017/1/13,6.79,6.82,6.68,6.68,63165.25,0.66,0.0152671755725,1
188,2017/1/12,6.82,6.88,6.79,6.77,60468.66,0.64,0.0133079847909,-1
189,2017/1/11,7.01,7.01,6.86,6.86,54593.5,0.57,0.0134357005758,-1
190,2017/1/10,7.07,7.08,7.01,7.01,50224.53,0.53,0.0172744721689,1
191,2017/1/9,6.96,7.11,7.07,6.95,96037.39,1.01,0.0114942528736,-1
192,2017/1/6,6.96,7.13,7.03,6.93,121800.06,1.28,0.00764818355641,1
193,2017/1/5,6.98,7.04,6.97,6.9,94253.1,0.99,0.0213178294574,-1
194,2017/1/4,6.83,7.12,7.01,6.8,133853.38,1.41,0.0135658914729,1
195,2017/1/3,6.76,6.84,6.83,6.76,37043.68,0.39,0.00967117988395,-1
196,2016/12/30,6.77,6.8,6.76,6.75,35538.29,0.39,0.0116504854369,1
197,2016/12/29,6.84,6.84,6.76,6.75,60086.96,0.66,0.00967117988395,1
